what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1469028923339
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1469028923370
os,sysinfo,,,"win32",1469028923386
arch,sysinfo,,,"x86",1469028923386
ws,sysinfo,,,"win32",1469028923386
locale,sysinfo,,,"es_AR",1469028923386
processors,sysinfo,,,"2",1469028923386
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1469028923386
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1469028923386
java.specification.name,sysinfo,,,"Java Platform API Specification",1469028923386
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1469028923386
java.specification.version,sysinfo,,,"1.6",1469028923386
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1469028923386
java.version,sysinfo,,,"1.6.0_22",1469028923386
java.vm.info,sysinfo,,,"mixed mode",1469028923386
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1469028923386
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1469028923386
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1469028923386
java.vm.specification.version,sysinfo,,,"1.0",1469028923386
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1469028923386
java.vm.version,sysinfo,,,"17.1-b03",1469028923386
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1469028923620
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1469028923886
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1469028924073
started,bundle,org.eclipse.jst.servlet.ui,1.1.402.v201008261918,"org.eclipse.jst.servlet.ui",1469028924354
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1469028924651
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1469028924917
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1469028924932
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1469028925026
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1469028929370
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1469028929558
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1469028932323
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1469028934636
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1469028938464
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1469028940355
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1469028940433
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1469028940871
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1469028941324
